Compound.Name,Cal_Point,Run_date
tridecanal,Cal_pt_6,8/7/2020
Tricarballylic acid,Cal_pt_5,8/7/2020
"Tartaric acid, 4TMS",Cal_pt_6,7/31/2020
"Tartaric acid, 4TMS",Cal_pt_6,8/7/2020
syringol,Cal_pt_6,7/31/2020
Sugar 6,Cal_pt_6,7/31/2020
Sugar 6,Cal_pt_6,8/7/2020
Sugar 3,Cal_pt_6,8/7/2020
Sugar 3,Cal_pt_6,7/31/2020
Sugar 2,Cal_pt_6,7/31/2020
Sugar 1,Cal_pt_6,7/31/2020
Sugar 1,Cal_pt_6,8/7/2020
squalene,Cal_pt_3,7/31/2020
pyrene,Cal_pt_6,8/7/2020
pyrene,Cal_pt_6,7/31/2020
pinic acid 2,Cal_pt_6,8/7/2020
pinic acid 2,Cal_pt_6,7/31/2020
MBTCA,Cal_pt_5,8/7/2020
mannosan,Cal_pt_5,8/7/2020
maltol,Cal_pt_6,8/7/2020
maltol,Cal_pt_6,7/31/2020
"Malic acid, 3TMS derivative",Cal_pt_6,7/31/2020
levoglucosan,Cal_pt_5,8/7/2020
levoglucosan,Cal_pt_6,8/7/2020
ketopinic acid,Cal_pt_6,8/7/2020
ketopinic acid,Cal_pt_6,7/31/2020
isoeugenol,Cal_pt_6,8/7/2020
isoeugenol,Cal_pt_6,7/31/2020
isoeugenol,Cal_pt_5,7/31/2020
hydroquinone,Cal_pt_6,8/7/2020
hydroquinone,Cal_pt_6,7/31/2020
"homosalate, TMS",Cal_pt_6,8/7/2020
"dimethyl Glutaric Acid, TMS",Cal_pt_6,8/7/2020
"dimethyl Glutaric Acid, TMS",Cal_pt_6,7/31/2020
dibenz(ah)anthracene,Cal_pt_6,8/7/2020
dibenz(ah)anthracene,Cal_pt_6,7/31/2020
deoxycholic acid,Cal_pt_2,8/7/2020
deoxycholic acid,Cal_pt_3,8/7/2020
deoxycholic acid,Cal_pt_4,8/7/2020
deoxycholic acid,Cal_pt_5,8/7/2020
deoxycholic acid,Cal_pt_6,8/7/2020
deoxycholic acid,Cal_pt_2,7/31/2020
deoxycholic acid,Cal_pt_3,7/31/2020
deoxycholic acid,Cal_pt_4,7/31/2020
deoxycholic acid,Cal_pt_5,7/31/2020
deoxycholic acid,Cal_pt_6,7/31/2020
abietic acid,Cal_pt_6,7/31/2020
DEET,Cal_pt_6,7/31/2020
